,part #,Description,#,$ single,$ all,
1,PT204-6B,IR SENSOR,25,0.23600,$5.90,
2,MMBT4403,TRANSISTOR - DISPLAY SELECT,125,0.04420,$5.53,
3,SN74HC138DR,MUX,25,0.16200,$4.05,
4,RK73B2ATTD151J,150 OHM,125,0.01390,$1.74,
5,TLC59211IPWR,LED DRIVER,12,1.09600,$13.15,
6,RK73B2ATTD510J,51 OHM,140,0.01390,$1.95,
7,IR333-A,IR LED,25,0.29600,$7.40,
8,302-S101,JTAG CONNECTOR,10,0.22400,$2.24,
9,KUSBX-SMT-CS-6-BTR,USB-C PORT,10,0.61900,$6.19,
10,SMAZ5V1-13-F,DIODE,15,0.16600,$2.49,
11,CL21A226KQQNNNE,22UF CAPACITOR,20,0.11500,$2.30,
12,C0805C103K5RACTU,"10,000PF CAPACITOR",10,0.02000,$0.20,
13,CL21B105KBFNNNE,1UF CAPACITOR,20,0.01900,$0.38,
14,CC0805KRX7R9BB104,.1UF CAPACITOR,50,0.01600,$0.80,
15,CC0805JRNPO9BN100,10PF CAPACITOR,20,0.04800,$0.96,
16,ECS-2520MV-160-CN-TR,16MHZ CAP,10,0.96600,$9.66,
17,60900213421,BOOT JUMPER,10,0.27900,$2.79,
18,CRGCQ0805F220R,220 OHM,30,0.02720,$0.82,
19,RR1220P-103-D,10K OHM,10,0.03100,$0.31,
20,RC0805FR-071K5L,1K5 OHM,10,0.01600,$0.16,
21,CL21A106KOQNNNE,10UF,10,0.05100,$0.51,
22,LTL-4234,GREEN LED,35,0.10200,$3.57,
23,AMS1117-3.3,LINEAR REG,10,0.18200,$1.82,
24,STM32F091RCT6,MICROCONTROLLER,6,6.08000,$36.48,
25,ILHB0805ER121V,FERRITE BEAD,10,0.07400,$0.74,
26,S16B-PHDSS,16 PIN HEADER,10,0.43400,$4.34,
27,PTS636SK25FSMTR LFS,RESET BUTTON,10,0.21100,$2.11,
28,PHDR-16VS,16 PIN HEADER - CONNECTOR,10,0.23300,$2.33,
29,0513532400,24 PIN HEADER,10,0.66800,$6.68,
30,0559592430,24 PIN HEADER - CONNECTOR,10,0.92600,$9.26,
,,,,,,
,https://www.digikey.com/en/mylists/list/TN3N2823CA,,,,,
,,,total:,$136.86,,
,,,5x:,$27.37,,
,,,3x:,$45.62,,
